,qid,question,question_seg,Guessed_SO_Pair
296,297,容差还款介绍,容差|还款|介绍|,"[[('还款', '介绍'), 0.6], [('容差', '还款'), 0.2], [('容差', '介绍'), 0.2]]"
297,298,循环信用介绍,循环信用|介绍|,"[('循环信用', '介绍'), 1]"
298,299,最低还款额计算方式,最低还款额|计算|方式|,
299,300,账单日及还款日的区别,账单日|及|还款日|的|区别|,"[('还款日', '区别'), 1]"
300,301,交易日与记账日的区别,交易日|与|记账日|的|区别|,"[('交易日', '区别'), 1]"
301,302,账单分期与最低还款额的区别,账单分期|与|最低还款额|的|区别|,"[[('账单分期', '最低还款额'), 0.3333333333333333], [('账单分期', '区别'), 0.3333333333333333], [('最低还款额', '区别'), 0.3333333333333333]]"
302,303,账单分期期数及手续费,账单分期|期数|及|手续费|,"[('手续费', '账单分期'), 1]"
303,304,不能账单分期的交易,不能|账单分期|的|交易|,"[[('交易', '账单分期'), 0.3333333333333333], [('账单分期', '不能'), 0.3333333333333333], [('交易', '不能'), 0.3333333333333333]]"
304,305,账单分期办理条件,账单分期|办理|条件|,"[('条件', '账单分期'), 1]"
305,306,账单分期申请时效,账单分期|申请|时效|,"[('账单分期', '申请'), 1]"
306,307,审核账单分期的时效,审核|账单分期|的|时效|,"[('账单分期', '审核'), 1]"
307,308,账单分期能申请多少,账单分期|能|申请|多少|,"[[('账单分期', '申请'), 0.6666666666666666], [('账单分期', '能'), 0.16666666666666666], [('能', '申请'), 0.16666666666666666]]"
308,309,账单分期是否可以提前还清,账单分期|是否|可以|提前还清|,"[('账单分期', '提前还清'), 1]"
309,310,POS刷卡收费吗,POS|刷卡|收费|吗|,"[[('刷卡', 'POS'), 0.875], [('刷卡', '收费'), 0.0625], [('收费', 'POS'), 0.0625]]"
310,311,你叫什么名字呀,你|叫|什么|名字|呀|,"[('名字', '叫'), 1]"
311,312,你家是那里的,你家|是|那里|的|,
312,313,信用卡主要有哪些特点,信用卡|主要|有|哪些|特点|,"[('信用卡', '特点'), 1]"
313,314,信用卡交易有哪些参与者,信用卡|交易|有|哪些|参与者|,"[[('信用卡', '交易'), 0.5], [('信用卡', '参与者'), 0.25], [('交易', '参与者'), 0.25]]"
314,315,什么是信用额度,什么|是|信用额度|,
315,316,什么是备用金存款,什么|是|备用金存款|,
316,317,什么是滞纳金,什么|是|滞纳金|,
317,318,什么是循环信用,什么|是|循环信用|,
318,319,标准单币卡有哪些特点,标准|单币卡|有|哪些|特点|,
319,320,我的卡被冻结了，怎么解锁,我|的|卡|被|冻结|了|怎么|解锁|,"[[('冻结', '解锁'), 0.3333333333333333], [('卡', '解锁'), 0.3333333333333333], [('卡', '冻结'), 0.3333333333333333]]"
320,321,逾期欠款停卡,逾期|欠款|停卡|,"[('停卡', '欠款'), 1]"
321,322,一键锁卡,一键|锁卡|,
322,323,如何申请销卡/销户？,如何|申请|销卡|销户|,"[('销户', '销卡'), 1]"
323,324,什么是紧急补卡？,什么|是|紧急|补卡|,"[('补卡', '紧急'), 1]"
324,325,信用卡损坏不能使用怎么办？,信用卡|损坏|不能|使用|怎么办|,"[[('信用卡', '使用'), 0.3076923076923077], [('损坏', '不能'), 0.07692307692307693], [('怎么办', '损坏'), 0.07692307692307693], [('信用卡', '损坏'), 0.07692307692307693], [('使用', '损坏'), 0.07692307692307693], [('怎么办', '不能'), 0.07692307692307693], [('信用卡', '不能'), 0.07692307692307693], [('使用', '不能'), 0.07692307692307693], [('信用卡', '怎么办'), 0.07692307692307693], [('使用', '怎么办'), 0.07692307692307693]]"
325,326,信用卡毁补费用,信用卡|毁补|费用|,"[('信用卡', '费用'), 1]"
326,327,有多张卡消费，每月账单如何邮寄,有|多张|卡消费|每月|账单|如何|邮寄|,"[[('卡消费', '邮寄'), 0.3333333333333333], [('账单', '卡消费'), 0.3333333333333333], [('账单', '邮寄'), 0.3333333333333333]]"
327,328,你好,你好|,
328,329,储蓄卡和信用卡区别,储蓄卡|和|信用卡|区别|,"[[('信用卡', '区别'), 0.42857142857142855], [('信用卡', '储蓄卡'), 0.2857142857142857], [('储蓄卡', '区别'), 0.2857142857142857]]"
329,330,储蓄卡（含小MM卡、IC卡）支持的币种,储蓄卡|含|小MM卡|IC卡|支持|的|币种|,"[[('储蓄卡', 'IC卡'), 0.5], [('储蓄卡', '小MM卡'), 0.3333333333333333], [('IC卡', '小MM卡'), 0.16666666666666666]]"
330,331,办理外汇结汇,办理|外汇|结汇|,"[('外汇', '结汇'), 1]"
331,332,查询可用的年结售汇额度,查询|可用|的|年|结售汇|额度|,"[[('额度', '查询'), 0.7], [('额度', '结售汇'), 0.2], [('结售汇', '查询'), 0.1]]"
332,333,境外居民超额度办理结汇,境外|居民|超额度|办理|结汇|,"[('境外', '结汇'), 1]"
333,334,境内个人超额度结汇,境内个人|超额度|结汇|,"[('境内个人', '结汇'), 1]"
334,335,境外个人超额度结汇,境外|个人|超额度|结汇|,"[[('境外', '结汇'), 0.25], [('超额度', '结汇'), 0.25], [('超额度', '境外'), 0.125], [('个人', '境外'), 0.125], [('个人', '超额度'), 0.125], [('个人', '结汇'), 0.125]]"
335,336,自助结售汇提示“FK20074输入金额有误”,自助|结售汇|提示|FK20074|输入金额|有误|,
336,337,自助结售汇提示“FK11034客户证件找不到”,自助|结售汇|提示|FK11034|客户|证件|找|不到|,
337,338,自助结售汇提示“FK30082客户国别有误”,自助|结售汇|提示|FK30082|客户|国别|有误|,"[[('国别', '提示'), 0.16666666666666666], [('客户', '提示'), 0.16666666666666666], [('提示', '有误'), 0.16666666666666666], [('客户', '国别'), 0.16666666666666666], [('国别', '有误'), 0.16666666666666666], [('客户', '有误'), 0.16666666666666666]]"
338,339,额度内自助终端办理结汇,额度内|自助终端|办理|结汇|,"[[('办理', '结汇'), 0.3], [('办理', '额度内'), 0.2], [('额度内', '结汇'), 0.2], [('额度内', '自助终端'), 0.1], [('办理', '自助终端'), 0.1], [('自助终端', '结汇'), 0.1]]"
339,340,境内居民超额度结汇,境内|居民|超额度|结汇|,"[('超额度', '结汇'), 1]"
340,341,提高固定额度的生效时间,提高|固定额度|的|生效时间|,"[('生效时间', '提高'), 1]"
341,342,多个账户的结售汇额度是否是分开的,多个|账户|的|结售汇|额度|是否是|分开|的|,"[('额度', '结售汇'), 1]"
342,343,如何在柜台补打原结售汇水单,如何|在|柜台|补打|原|结售汇|水单|,
343,344,办理结售汇是否需要收费,办理|结售汇|是否|需要|收费|,"[('结售汇', '需要'), 1]"
344,345,结售汇的含义,结售汇|的|含义|,
345,346,结售汇计算公式,结售汇|计算公式|,"[('结售汇', '计算公式'), 1]"
346,347,出现ACT1020的含义,出现|ACT1020|的|含义|,
347,348,自助结售汇提示“FK11013-低于1美元的交易笔数超限”,自助|结售汇|提示|FK11013|低于|1|美元|的|交易笔数|超限|,
348,349,小M开心卡相比储蓄卡受到限制的功能,小M开心卡|相比|储蓄卡|受到限制|的|功能|,"[[('功能', '小M开心卡'), 0.3333333333333333], [('储蓄卡', '小M开心卡'), 0.3333333333333333], [('储蓄卡', '功能'), 0.3333333333333333]]"
349,350,境内居民额度内网上办理购汇,境内|居民|额度内|网上|办理|购汇|,"[[('额度内', '购汇'), 0.4117647058823529], [('居民', '境内'), 0.23529411764705882], [('购汇', '境内'), 0.11764705882352941], [('居民', '购汇'), 0.11764705882352941], [('额度内', '境内'), 0.058823529411764705], [('额度内', '居民'), 0.058823529411764705]]"
350,351,境内居民额度内手机银行办理购汇,境内|居民|额度内|手机银行|办理|购汇|,"[[('居民', '境内'), 0.5], [('购汇', '境内'), 0.25], [('居民', '购汇'), 0.25]]"
351,352,境内个人额度内柜台办理购汇,境内个人|额度内|柜台|办理|购汇|,"[[('额度内', '购汇'), 0.35], [('境内个人', '购汇'), 0.3], [('境内个人', '额度内'), 0.2], [('柜台', '境内个人'), 0.05], [('柜台', '额度内'), 0.05], [('柜台', '购汇'), 0.05]]"
352,353,什么是小M开心卡,什么|是|小M开心卡|,
353,354,小M开心卡开户规定,小M开心卡|开户|规定|,
354,355,小M开心卡的有效期,小M开心卡|的|有效期|,"[('小M开心卡', '有效期'), 1]"
355,356,小M开心卡与监护人储蓄卡亲子关联关系如何建立,小M开心卡|与|监护人|储蓄卡|亲子|关联|关系|如何|建立|,"[[('储蓄卡', '小M开心卡'), 0.3333333333333333], [('小M开心卡', '监护人'), 0.3333333333333333], [('储蓄卡', '监护人'), 0.3333333333333333]]"
356,357,小M有什么电影优惠,小M|有|什么|电影|优惠|,"[[('电影', '优惠'), 0.5], [('小M', '电影'), 0.25], [('小M', '优惠'), 0.25]]"
357,358,咨询信用卡其他业务,咨询|信用卡|其他|业务|,"[[('业务', '咨询'), 0.4], [('信用卡', '业务'), 0.4], [('信用卡', '咨询'), 0.2]]"
358,359,怎样查询信用卡未出账单的明细,怎样|查询|信用卡|未出账单|的|明细|,"[[('信用卡', '查询'), 0.7884615384615384], [('信用卡', '明细'), 0.10576923076923077], [('查询', '明细'), 0.04807692307692308], [('信用卡', '未出账单'), 0.019230769230769232], [('未出账单', '明细'), 0.019230769230769232], [('未出账单', '查询'), 0.019230769230769232]]"
359,360,信用卡中国联通手机钱包交易查询,信用卡|中国联通|手机钱包|交易|查询|,"[[('信用卡', '查询'), 0.9425287356321839], [('信用卡', '中国联通'), 0.011494252873563218], [('中国联通', '手机钱包'), 0.011494252873563218], [('中国联通', '查询'), 0.011494252873563218], [('信用卡', '手机钱包'), 0.011494252873563218], [('手机钱包', '查询'), 0.011494252873563218]]"
360,361,如何查询储蓄卡13个月以前的交易记录,如何|查询|储蓄卡|13|个|月|以前|的|交易记录|,"[('交易记录', '查询'), 1]"
361,362,为什么只能查询储蓄卡13个月以内的交易记录,为什么|只能|查询|储蓄卡|13|个|月|以内|的|交易记录|,"[[('交易记录', '查询'), 0.6], [('交易记录', '只能'), 0.2], [('只能', '查询'), 0.2]]"
362,363,储蓄卡跨年度查询的相关规定文件,储蓄卡|跨年度|查询|的|相关规定|文件|,"[('储蓄卡', '查询'), 1]"
363,364,信用卡账单查询时间,信用卡|账单|查询|时间|,"[[('信用卡', '查询'), 0.7663551401869159], [('信用卡', '账单'), 0.09345794392523364], [('信用卡', '时间'), 0.056074766355140186], [('时间', '查询'), 0.04672897196261682], [('账单', '查询'), 0.028037383177570093], [('账单', '时间'), 0.009345794392523364]]"
364,365,查询信用卡美金账单,查询|信用卡|美金|账单|,"[('信用卡', '账单'), 1]"
365,366,查询已销户的储蓄卡交易,查询|已销户|的|储蓄卡|交易|,"[[('交易', '查询'), 0.8947368421052632], [('交易', '已销户'), 0.05263157894736842], [('已销户', '查询'), 0.05263157894736842]]"
366,367,储蓄卡交易记录能否修改或删除,储蓄卡|交易记录|能否|修改|或|删除|,"[('交易记录', '删除'), 1]"
367,368,储蓄卡直付交易查询方式,储蓄卡|直付|交易|查询|方式|,"[[('储蓄卡', '查询'), 0.4878048780487805], [('交易', '查询'), 0.4146341463414634], [('储蓄卡', '交易'), 0.0975609756097561]]"
368,369,M支付支付交易查询,M支付|支付|交易|查询|,"[[('交易', '查询'), 0.7727272727272727], [('交易', 'M支付'), 0.045454545454545456], [('M支付', '查询'), 0.045454545454545456], [('M支付', '支付'), 0.045454545454545456], [('交易', '支付'), 0.045454545454545456], [('查询', '支付'), 0.045454545454545456]]"
369,370,下载储蓄卡活期交易信息,下载|储蓄卡|活期|交易信息|,
370,371,为什么无法修改活期交易备注,为什么|无法|修改|活期|交易|备注|,"[[('交易', '备注'), 0.3333333333333333], [('修改', '备注'), 0.3333333333333333], [('交易', '修改'), 0.3333333333333333]]"
371,372,什么是储蓄卡直付,什么|是|储蓄卡|直付|,"[('储蓄卡', '直付'), 1]"
372,373,储蓄卡个人版支付交易查询方式,储蓄卡|个人版|支付|交易|查询|方式|,"[[('储蓄卡', '查询'), 0.4878048780487805], [('交易', '查询'), 0.4146341463414634], [('储蓄卡', '交易'), 0.0975609756097561]]"
373,374,客户自身需要注意哪些安全措施,客户|自身|需要|注意|哪些|安全措施|,"[[('需要', '注意'), 0.16666666666666666], [('客户', '注意'), 0.16666666666666666], [('安全措施', '注意'), 0.16666666666666666], [('客户', '需要'), 0.16666666666666666], [('安全措施', '需要'), 0.16666666666666666], [('客户', '安全措施'), 0.16666666666666666]]"
374,375,用卡安全注意事项,用卡|安全|注意事项|,"[[('注意事项', '安全'), 0.3333333333333333], [('用卡', '安全'), 0.3333333333333333], [('注意事项', '用卡'), 0.3333333333333333]]"
375,376,储蓄卡直付验证码的发送规则,储蓄卡|直付|验证码|的|发送|规则|,"[('验证码', '发送'), 1]"
376,377,储蓄卡直付和卡号密码支付的区别,储蓄卡|直付|和|卡号|密码|支付|的|区别|,"[[('卡号', '支付'), 0.21875], [('密码', '卡号'), 0.15625], [('密码', '支付'), 0.125], [('支付', '区别'), 0.09375], [('储蓄卡', '密码'), 0.09375], [('储蓄卡', '支付'), 0.09375], [('密码', '区别'), 0.0625], [('储蓄卡', '区别'), 0.0625], [('储蓄卡', '卡号'), 0.0625], [('卡号', '区别'), 0.03125]]"
377,378,如何开通储蓄卡直付功能,如何|开通|储蓄卡|直付|功能|,"[[('功能', '开通'), 0.6666666666666666], [('储蓄卡', '开通'), 0.25], [('储蓄卡', '功能'), 0.08333333333333333]]"
378,379,储蓄卡支付交易查询,储蓄卡|支付|交易|查询|,"[[('储蓄卡', '查询'), 0.4878048780487805], [('交易', '查询'), 0.4146341463414634], [('储蓄卡', '交易'), 0.0975609756097561]]"
379,380,储蓄卡个人版支付功能是否开通的验证方式,储蓄卡|个人版|支付|功能|是否|开通|的|验证|方式|,"[[('功能', '开通'), 0.2857142857142857], [('开通', '支付'), 0.14285714285714285], [('开通', '是否'), 0.10714285714285714], [('储蓄卡', '开通'), 0.10714285714285714], [('功能', '支付'), 0.10714285714285714], [('储蓄卡', '支付'), 0.10714285714285714], [('功能', '是否'), 0.03571428571428571], [('支付', '是否'), 0.03571428571428571], [('储蓄卡', '是否'), 0.03571428571428571], [('储蓄卡', '功能'), 0.03571428571428571]]"
380,381,储蓄卡生活缴费交易查询（个人版）,储蓄卡|生活|缴费|交易|查询|个人版|,"[[('交易', '查询'), 0.4722222222222222], [('个人版', '查询'), 0.3888888888888889], [('个人版', '缴费'), 0.05555555555555555], [('个人版', '交易'), 0.027777777777777776], [('交易', '缴费'), 0.027777777777777776], [('查询', '缴费'), 0.027777777777777776]]"
381,382,个人版支付的操作流程,个人版|支付|的|操作流程|,"[('支付', '操作流程'), 1]"
382,383,个人版网上支付回单打印,个人版|网上支付|回单|打印|,"[[('打印', '回单'), 0.5454545454545454], [('个人版', '回单'), 0.09090909090909091], [('个人版', '打印'), 0.09090909090909091], [('个人版', '网上支付'), 0.09090909090909091], [('网上支付', '回单'), 0.09090909090909091], [('网上支付', '打印'), 0.09090909090909091]]"
383,384,个人银行个人版UKEY的申请方式,个人银行|个人版|UKEY|的|申请|方式|,"[('个人版', '个人银行'), 1]"
384,385,储蓄卡直付功能是否收费,储蓄卡|直付|功能|是否|收费|,"[[('储蓄卡', '收费'), 0.625], [('功能', '收费'), 0.25], [('储蓄卡', '功能'), 0.125]]"
385,386,储蓄卡直付有什么特点,储蓄卡|直付|有|什么|特点|,
386,387,储蓄卡直付的限额,储蓄卡|直付|的|限额|,"[('储蓄卡', '限额'), 1]"
387,388,储蓄卡直付功能的使用规则,储蓄卡|直付|功能|的|使用规则|,"[('功能', '使用规则'), 1]"
388,389,储蓄卡卡号密码支付交易明细的查询方式,储蓄卡|卡号|密码|支付|交易|明细|的|查询|方式|,"[[('交易', '查询'), 0.4358974358974359], [('交易', '明细'), 0.23076923076923078], [('卡号', '查询'), 0.15384615384615385], [('查询', '明细'), 0.1282051282051282], [('交易', '卡号'), 0.02564102564102564], [('卡号', '明细'), 0.02564102564102564]]"
389,390,储蓄卡个人版支付的开通方式（个人版支付金额可超过5000元）,储蓄卡|个人版|支付|的|开通|方式|个人版|支付|金额|可|超过|5000|元|,"[('开通', '支付'), 1]"
390,391,储蓄卡生活缴费操作流程（个人版）,储蓄卡|生活|缴费|操作流程|个人版|,"[[('个人版', '缴费'), 0.3333333333333333], [('个人版', '操作流程'), 0.3333333333333333], [('缴费', '操作流程'), 0.3333333333333333]]"
391,392,储蓄卡生活缴费申请流程（个人版）,储蓄卡|生活|缴费|申请|流程|个人版|,"[[('生活', '缴费'), 0.7692307692307693], [('生活', '流程'), 0.11538461538461539], [('流程', '缴费'), 0.11538461538461539]]"
392,393,储蓄卡网上支付时没有个人版支付的选项,储蓄卡|网上支付|时|没有|个人版|支付|的|选项|,"[[('时', '支付'), 0.25], [('网上支付', '时'), 0.08333333333333333], [('时', '没有'), 0.08333333333333333], [('时', '选项'), 0.08333333333333333], [('网上支付', '没有'), 0.08333333333333333], [('网上支付', '选项'), 0.08333333333333333], [('网上支付', '支付'), 0.08333333333333333], [('选项', '没有'), 0.08333333333333333], [('支付', '没有'), 0.08333333333333333], [('选项', '支付'), 0.08333333333333333]]"
393,394,储蓄卡卡号密码支付（手机支付）功能是否开通的验证方式,储蓄卡|卡号|密码|支付|手机支付|功能|是否|开通|的|验证|方式|,"[[('卡号', '支付'), 0.3333333333333333], [('开通', '支付'), 0.19047619047619047], [('手机支付', '开通'), 0.09523809523809523], [('手机支付', '支付'), 0.09523809523809523], [('卡号', '开通'), 0.047619047619047616], [('卡号', '验证'), 0.047619047619047616], [('卡号', '手机支付'), 0.047619047619047616], [('开通', '验证'), 0.047619047619047616], [('支付', '验证'), 0.047619047619047616], [('手机支付', '验证'), 0.047619047619047616]]"
394,395,储蓄卡账户查询流程（自动语音）,储蓄卡|账户|查询|流程|自动|语音|,"[[('储蓄卡', '查询'), 0.9090909090909091], [('语音', '查询'), 0.045454545454545456], [('储蓄卡', '语音'), 0.045454545454545456]]"
395,396,手机银行/pad银行上怎么缴费,手机银行|pad|银行|上|怎么|缴费|,"[('上', '缴费'), 1]"
396,397,储蓄卡生活缴费申请流程（普通版）,储蓄卡|生活|缴费|申请|流程|普通版|,"[[('生活', '缴费'), 0.625], [('生活', '流程'), 0.09375], [('流程', '缴费'), 0.09375], [('储蓄卡', '缴费'), 0.09375], [('储蓄卡', '生活'), 0.0625], [('储蓄卡', '流程'), 0.03125]]"
397,398,储蓄卡生活缴费操作流程（普通版）,储蓄卡|生活|缴费|操作流程|普通版|,"[[('生活', '缴费'), 0.8695652173913043], [('缴费', '操作流程'), 0.08695652173913043], [('生活', '操作流程'), 0.043478260869565216]]"
398,399,储蓄卡生活缴费缴费别名（个人版）,储蓄卡|生活|缴费|缴费|别名|个人版|,"[[('生活', '缴费'), 0.8333333333333334], [('生活', '别名'), 0.08333333333333333], [('缴费', '别名'), 0.08333333333333333]]"
399,400,储蓄卡生活缴费取消流程（个人版）,储蓄卡|生活|缴费|取消|流程|个人版|,"[[('生活', '缴费'), 0.5405405405405406], [('取消', '缴费'), 0.16216216216216217], [('生活', '取消'), 0.13513513513513514], [('储蓄卡', '缴费'), 0.08108108108108109], [('储蓄卡', '生活'), 0.05405405405405406], [('储蓄卡', '取消'), 0.02702702702702703]]"
400,401,首次使用个人银行个人版的激活流程,首次|使用|个人银行|个人版|的|激活|流程|,"[[('个人版', '个人银行'), 0.5714285714285714], [('个人版', '流程'), 0.14285714285714285], [('流程', '激活'), 0.03571428571428571], [('流程', '使用'), 0.03571428571428571], [('个人银行', '流程'), 0.03571428571428571], [('使用', '激活'), 0.03571428571428571], [('个人版', '激活'), 0.03571428571428571], [('个人银行', '激活'), 0.03571428571428571], [('个人版', '使用'), 0.03571428571428571], [('个人银行', '使用'), 0.03571428571428571]]"
401,402,储蓄卡直付的安全措施,储蓄卡|直付|的|安全措施|,
402,403,微信银行储蓄卡账户查询,微信银行|储蓄卡|账户|查询|,"[[('储蓄卡', '查询'), 0.5555555555555556], [('账户', '查询'), 0.25], [('微信银行', '查询'), 0.08333333333333333], [('储蓄卡', '账户'), 0.05555555555555555], [('储蓄卡', '微信银行'), 0.027777777777777776], [('账户', '微信银行'), 0.027777777777777776]]"
403,404,查询储蓄卡开户信息,查询|储蓄卡|开户|信息|,"[[('信息', '查询'), 0.6], [('开户', '查询'), 0.26666666666666666], [('开户', '信息'), 0.13333333333333333]]"
404,405,储蓄卡生活缴费缴费别名（普通版）,储蓄卡|生活|缴费|缴费|别名|普通版|,"[[('生活', '缴费'), 0.8333333333333334], [('生活', '别名'), 0.08333333333333333], [('缴费', '别名'), 0.08333333333333333]]"
405,406,储蓄卡生活缴费取消流程（普通版）,储蓄卡|生活|缴费|取消|流程|普通版|,"[[('生活', '缴费'), 0.5263157894736842], [('取消', '缴费'), 0.15789473684210525], [('生活', '取消'), 0.13157894736842105], [('生活', '流程'), 0.07894736842105263], [('流程', '缴费'), 0.07894736842105263], [('流程', '取消'), 0.02631578947368421]]"
406,407,储蓄卡生活缴费自动代缴功能取消（个人版）,储蓄卡|生活|缴费|自动代缴|功能|取消|个人版|,"[[('生活', '缴费'), 0.4], [('自动代缴', '缴费'), 0.18], [('生活', '自动代缴'), 0.14], [('功能', '生活'), 0.1], [('功能', '缴费'), 0.1], [('功能', '自动代缴'), 0.08]]"
407,408,储蓄卡生活缴费的缴费提醒（取消流程）,储蓄卡|生活|缴费|的|缴费提醒|取消|流程|,"[[('生活', '缴费'), 0.5263157894736842], [('取消', '缴费'), 0.15789473684210525], [('生活', '取消'), 0.13157894736842105], [('生活', '缴费提醒'), 0.07894736842105263], [('缴费提醒', '缴费'), 0.07894736842105263], [('缴费提醒', '取消'), 0.02631578947368421]]"
408,409,储蓄卡资费标准,储蓄卡|资费标准|,"[('储蓄卡', '资费标准'), 1]"
409,410,储蓄卡生活缴费自动代缴功能取消生效时间,储蓄卡|生活|缴费|自动代缴|功能|取消|生效时间|,"[[('自动代缴', '缴费'), 0.5], [('取消', '缴费'), 0.3333333333333333], [('自动代缴', '取消'), 0.16666666666666666]]"
410,411,储蓄卡生活缴费自动代缴功能申请（个人版）,储蓄卡|生活|缴费|自动代缴|功能|申请|个人版|,"[[('生活', '缴费'), 0.4], [('自动代缴', '缴费'), 0.18], [('生活', '自动代缴'), 0.14], [('功能', '生活'), 0.1], [('功能', '缴费'), 0.1], [('功能', '自动代缴'), 0.08]]"
411,412,储蓄卡生活缴费自动代缴功能取消（普通版）,储蓄卡|生活|缴费|自动代缴|功能|取消|普通版|,"[[('生活', '缴费'), 0.4], [('自动代缴', '缴费'), 0.18], [('生活', '自动代缴'), 0.14], [('功能', '生活'), 0.1], [('功能', '缴费'), 0.1], [('功能', '自动代缴'), 0.08]]"
412,413,储蓄卡优惠活动有什么,储蓄卡|优惠活动|有|什么|,"[('储蓄卡', '优惠活动'), 1]"
413,414,储蓄卡生活缴费自动代缴需要注意哪方面,储蓄卡|生活|缴费|自动代缴|需要|注意|哪|方面|,"[[('自动代缴', '缴费'), 0.6923076923076923], [('储蓄卡', '缴费'), 0.23076923076923078], [('储蓄卡', '自动代缴'), 0.07692307692307693]]"
414,415,WIN8.1系统使用IE11浏览器网上支付时，提示浏览器不支持个人版支付,WIN8|.1|系统|使用|IE11|浏览器|网上支付|时|提示|浏览器|不|支持|个人版|支付|,"[[('浏览器', 'IE11'), 0.5], [('系统', '浏览器'), 0.25], [('系统', 'IE11'), 0.25]]"
415,416,储蓄卡生活缴费的缴费提醒（申请流程）,储蓄卡|生活|缴费|的|缴费提醒|申请|流程|,"[[('生活', '缴费'), 0.6896551724137931], [('生活', '缴费提醒'), 0.10344827586206896], [('缴费提醒', '缴费'), 0.10344827586206896], [('缴费提醒', '申请'), 0.034482758620689655], [('生活', '申请'), 0.034482758620689655], [('申请', '缴费'), 0.034482758620689655]]"
416,417,储蓄卡生活缴费“自动代缴”取消或修改（网上银行）,储蓄卡|生活|缴费|自动代缴|取消|或|修改|网上银行|,"[[('生活', '缴费'), 0.4], [('自动代缴', '缴费'), 0.18], [('生活', '自动代缴'), 0.14], [('取消', '缴费'), 0.12], [('生活', '取消'), 0.1], [('自动代缴', '取消'), 0.06]]"
417,418,储蓄卡生活缴费自动代缴功能申请（普通版）,储蓄卡|生活|缴费|自动代缴|功能|申请|普通版|,"[[('生活', '缴费'), 0.4], [('自动代缴', '缴费'), 0.18], [('生活', '自动代缴'), 0.14], [('功能', '生活'), 0.1], [('功能', '缴费'), 0.1], [('功能', '自动代缴'), 0.08]]"
418,419,储蓄卡生活缴费自动代缴的定义,储蓄卡|生活|缴费|自动代缴|的|定义|,"[[('生活', '缴费'), 0.5555555555555556], [('自动代缴', '缴费'), 0.25], [('生活', '自动代缴'), 0.19444444444444445]]"
419,420,生活缴费功能介绍,生活|缴费|功能|介绍|,"[[('生活', '缴费'), 0.6666666666666666], [('功能', '生活'), 0.16666666666666666], [('功能', '缴费'), 0.16666666666666666]]"
420,421,储蓄卡生活缴费的缴费提醒是指什么,储蓄卡|生活|缴费|的|缴费提醒|是|指|什么|,"[[('生活', '缴费'), 0.7692307692307693], [('生活', '缴费提醒'), 0.11538461538461539], [('缴费提醒', '缴费'), 0.11538461538461539]]"
421,422,生活缴费使用方法,生活|缴费|使用|方法|,"[[('生活', '缴费'), 0.9090909090909091], [('生活', '使用'), 0.045454545454545456], [('使用', '缴费'), 0.045454545454545456]]"
422,423,生活缴费内容介绍,生活|缴费|内容|介绍|,"[[('生活', '缴费'), 0.9090909090909091], [('生活', '介绍'), 0.045454545454545456], [('介绍', '缴费'), 0.045454545454545456]]"
423,424,全民优惠全城热刷-自助餐季（深圳分行）,全民优惠|全城|热刷|自助餐季|深圳|分行|,"[[('自助餐季', '热刷'), 0.16666666666666666], [('全民优惠', '热刷'), 0.16666666666666666], [('全城', '热刷'), 0.16666666666666666], [('全民优惠', '自助餐季'), 0.16666666666666666], [('全城', '自助餐季'), 0.16666666666666666], [('全民优惠', '全城'), 0.16666666666666666]]"
424,425,大丰收联名卡推广活动,大丰收|联名卡|推广|活动|,"[('大丰收', '活动'), 1]"
425,426,境外畅刷银行银联‘储蓄卡’，精彩好礼等你拿,境外|畅刷|银行|银联|储蓄卡|精彩|好|礼|等你拿|,"[[('礼', '畅刷'), 0.1], [('精彩', '礼'), 0.1], [('银联', '礼'), 0.1], [('礼', '好'), 0.1], [('精彩', '畅刷'), 0.1], [('银联', '畅刷'), 0.1], [('好', '畅刷'), 0.1], [('银联', '精彩'), 0.1], [('精彩', '好'), 0.1], [('银联', '好'), 0.1]]"
426,427,小M联合收获IC卡的介绍,小M联合收获IC卡|的|介绍|,"[('小M联合收获IC卡', '介绍'), 1]"
427,428,“小M联合收获IC卡”的特定优惠,小M联合收获IC卡|的|特定|优惠|,"[('小M联合收获IC卡', '优惠'), 1]"
428,429,小M联合收获IC卡”的开户规定,小M联合收获IC卡|的|开户|规定|,
429,430,“小M联合收获IC卡”的特殊业务规定,小M联合收获IC卡|的|特殊业务|规定|,
430,431,个人版支持哪些系统,个人版|支持|哪些|系统|,"[[('个人版', '系统'), 0.3333333333333333], [('个人版', '支持'), 0.3333333333333333], [('系统', '支持'), 0.3333333333333333]]"
431,432,关于WindowsXP系统退役事件,关于|WindowsXP|系统|退役|事件|,"[[('WindowsXP', '退役'), 0.3333333333333333], [('系统', 'WindowsXP'), 0.3333333333333333], [('系统', '退役'), 0.3333333333333333]]"
432,433,mac系统如何使用网银,mac|系统|如何|使用|网银|,"[[('系统', '使用'), 0.3333333333333333], [('系统', 'mac'), 0.3333333333333333], [('mac', '使用'), 0.3333333333333333]]"
433,434,繁体系统出现乱码问题,繁体|系统|出现|乱码|问题|,"[[('系统', '出现'), 0.26666666666666666], [('乱码', '出现'), 0.26666666666666666], [('系统', '乱码'), 0.26666666666666666], [('出现', '繁体'), 0.06666666666666667], [('系统', '繁体'), 0.06666666666666667], [('乱码', '繁体'), 0.06666666666666667]]"
